ID,lat,lon
CWAE,50.13,-122.95
CWCA,53.68,-57.05
CWCL,51.13,-121.50
CWDL,58.42,-130.00
CWEU,79.98,-85.93
CWFD,66.65,-61.38
CWGZ,76.42,-82.90
CWKM,69.60,-140.18
WKV,49.28,-121.23
CWKW,59.98,-64.15
CWLI,69.60,-130.90
CWLX,68.88,-75.13
CWLY,50.22,-121.58
CWOB,63.33,-64.13
CWPX,69.03,-107.82
CWRF,68.43,-89.72
CWRH,61.60,-64.63
CWRX,69.08,-79.03
CWSA,43.95,-59.97
CWSW,49.83,-114.88
CWTU,54.70,-58.35
CWUP,68.47,-66.80
CWUW,68.65,-71.17
CWVD,67.53,-63.78
CWWU,47.52,-52.98
CWXR,69.27,-119.22
CWYK,57.13,-61.47
CWYM,64.95,-63.58
CWZZ,58.33,-62.58
CYAB,73.00,-85.03
CYAD,53.57,-76.20
CYAH,53.75,-73.68
CYAM,46.48,-84.50
CYAS,60.02,-70.00
CYAW,44.63,-63.50
CYAY,51.40,-56.07
CYAZ,49.08,-125.77
CYBB,68.53,-89.80
CYBC,49.12,-68.20
CYBD,52.38,-126.60
CYBG,48.33,-71.00
CYBK,64.30,-96.08
CYBL,49.95,-125.27
CYBN,44.27,-79.90
CYBR,49.92,-99.95
CYBU,53.33,-104.00
CYBV,52.37,-97.02
CYBW,51.10,-114.37
CYBX,51.45,-57.18
CYCB,69.10,-105.13
CYCD,49.05,-123.87
CYCG,49.30,-117.63
CYCO,67.82,-115.15
CYCP,52.12,-119.30
CYCQ,55.68,-121.63
CYCS,63.35,-90.73
CYCX,45.83,-66.43
CYCY,70.48,-68.52
CYDA,64.05,-139.13
CYDB,61.37,-139.05
CYDC,49.47,-120.52
CYDF,49.22,-57.40
CYDL,58.42,-130.02
CYDN,51.10,-100.05
CYDP,56.55,-61.68
CYDQ,55.73,-120.17
CYED,53.67,-113.48
CYEG,53.32,-113.58
CYEK,61.10,-94.07
CYEL,46.35,-82.55
CYEN,49.22,-102.97
CYER,56.02,-87.68
CYET,53.57,-116.45
CYEV,68.30,-133.48
CYFB,63.75,-68.55
CYFC,45.87,-66.53
CYFO,54.68,-101.68
CYFR,61.18,-113.68
CYFS,61.77,-121.23
CYFT,55.08,-59.18
CYGE,51.30,-116.98
CYGH,66.23,-128.65
CYGK,44.23,-76.60
CYGL,53.63,-77.70
CYGP,48.78,-64.48
CYGQ,49.77,-86.92
CYGR,47.42,-61.78
CYGT,69.37,-81.82
CYGV,50.27,-63.60
CYGW,55.28,-77.77
CYGX,56.35,-94.42
CYHA,61.05,-69.62
CYHD,49.82,-92.73
CYHE,49.37,-121.50
CYHH,51.70,-76.12
CYHI,70.77,-117.80
CYHK,68.63,-95.85
CYHM,43.17,-79.93
CYHU,45.52,-73.42
CYHY,60.83,-115.78
CYHZ,44.88,-63.52
CYIK,62.42,-77.95
CYIO,72.68,-77.97
CYIV,53.85,-94.65
CYJF,60.23,-123.47
CYJT,48.53,-58.55
CYKA,50.70,-120.43
CYKD,68.22,-135.00
CYKF,43.45,-80.38
CYKG,61.58,-71.93
CYKJ,57.25,-105.62
CYKL,54.80,-66.80
CYKO,60.82,-78.15
CYKQ,51.47,-78.77
CYKY,51.52,-109.18
CYKZ,43.85,-79.37
CYLA,59.30,-69.60
CYLC,62.85,-69.88
CYLD,47.82,-83.33
CYLJ,54.13,-108.52
CYLK,62.42,-110.68
CYLL,53.32,-110.07
CYLT,82.52,-62.28
CYLU,58.72,-65.98
CYLW,49.95,-119.37
CYMA,63.62,-135.87
CYMH,52.30,-55.85
CYMJ,50.33,-105.55
CYMM,56.65,-111.22
CYMO,51.28,-80.60
CYMT,49.77,-74.53
CYMU,56.53,-76.52
CYMX,45.68,-74.03
CYNA,50.18,-61.78
CYNC,53.02,-78.83
CYND,45.52,-75.57
CYNE,53.95,-97.83
CYNM,49.77,-77.80
CYOA,64.70,-110.62
CYOC,67.57,-139.83
CYOD,54.40,-110.27
CYOJ,58.62,-117.17
CYOO,43.92,-78.88
CYOW,45.32,-75.67
CYOY,46.90,-71.50
CYPA,53.22,-105.67
CYPC,69.37,-124.08
CYPD,45.65,-61.37
CYPE,56.23,-116.55
CYPG,49.90,-98.28
CYPH,58.47,-78.08
CYPL,51.45,-90.22
CYPQ,44.22,-78.35
CYPR,54.28,-130.45
CYPW,49.83,-124.50
CYPX,60.05,-77.28
CYPY,58.77,-111.12
CYQA,44.97,-79.30
CYQB,46.78,-71.40
CYQD,53.97,-101.08
CYQF,52.17,-113.90
CYQG,42.28,-82.95
CYQH,60.12,-128.82
CYQI,43.83,-66.08
CYQK,49.78,-94.37
CYQL,49.63,-112.80
CYQM,46.10,-64.68
CYQQ,49.72,-124.90
CYQR,50.43,-104.67
CYQT,48.37,-89.32
CYQU,55.18,-118.88
CYQV,51.27,-102.47
CYQW,52.77,-108.25
CYQX,48.93,-54.57
CYQY,46.17,-60.05
CYQZ,53.02,-122.50
CYRA,64.12,-117.32
CYRB,74.72,-94.97
CYRJ,48.52,-72.27
CYRL,51.07,-93.80
CYRT,62.80,-92.12
CYRV,50.97,-118.18
CYSB,46.63,-80.80
CYSC,45.43,-71.68
CYSD,50.27,-111.18
CYSF,59.25,-105.83
CYSJ,45.32,-65.88
CYSK,56.53,-79.25
CYSL,47.15,-67.83
CYSM,60.02,-111.97
CYSN,43.20,-79.17
CYSP,48.75,-86.35
CYSY,72.00,-125.27
CYTE,64.23,-76.52
CYTH,55.80,-97.87
CYTL,53.82,-89.90
CYTQ,58.67,-69.95
CYTR,44.12,-77.53
CYTS,48.57,-81.38
CYTZ,43.63,-79.40
CYUA,68.95,-137.22
CYUB,69.43,-133.03
CYUL,45.47,-73.73
CYUS,68.82,-93.43
CYUT,66.52,-86.22
CYUX,68.78,-81.25
CYUY,48.22,-78.83
CYVC,55.15,-105.27
CYVM,67.55,-64.03
CYVO,48.05,-77.78
CYVP,58.08,-68.42
CYVQ,65.28,-126.80
CYVR,49.18,-123.17
CYVT,55.83,-108.43
CYVV,44.75,-81.12
CYWA,45.95,-77.32
CYWG,49.90,-97.23
CYWH,48.42,-123.38
CYWJ,65.22,-123.43
CYWK,52.92,-66.87
CYWL,52.18,-122.05
CYWY,63.22,-123.43
CYXC,49.62,-115.78
CYXD,53.57,-113.52
CYXE,52.17,-106.72
CYXH,50.02,-110.72
CYXJ,56.23,-120.73
CYXL,50.12,-91.90
CYXN,62.23,-92.60
CYXP,66.13,-65.70
CYXQ,62.42,-140.87
CYXR,47.70,-79.85
CYXS,53.88,-122.68
CYXT,54.47,-128.58
CYXU,43.03,-81.15
CYXX,49.03,-122.37
CYXY,60.72,-135.07
CYXZ,47.97,-84.78
CYYB,46.37,-79.42
CYYC,51.12,-114.02
CYYD,54.83,-127.18
CYYE,58.83,-122.60
CYYF,49.47,-119.60
CYYG,46.28,-63.12
CYYH,69.55,-93.58
CYYJ,48.65,-123.43
CYYL,56.85,-101.07
CYYN,50.30,-107.68
CYYQ,58.73,-94.07
CYYR,53.32,-60.42
CYYT,47.62,-52.75
CYYU,49.42,-82.47
CYYY,48.62,-68.20
CYYZ,43.67,-79.62
CYZE,45.88,-82.57
CYZF,62.47,-114.43
CYZG,62.18,-75.67
CYZH,55.30,-114.78
CYZP,53.25,-131.82
CYZR,43.00,-82.32
CYZS,64.20,-83.37
CYZT,50.67,-127.35
CYZU,54.15,-115.78
CYZV,50.22,-66.27
CYZW,60.17,-132.75
CYZX,44.98,-64.92
CYZY,55.28,-123.13
CZBF,47.63,-65.73
CZCP,70.17,-124.72
CZEM,52.23,-78.52
CZFA,62.20,-133.37
CZFM,67.40,-134.87
CZFN,64.92,-125.57
CZPC,49.52,-113.98
CZST,55.93,-129.83
CZUM,53.57,-64.10
ERM,47.42,-68.32
KMSS,44.93,-74.85
LFVP,46.77,-56.17
TAG,48.65,-93.43
TBO,44.63,-75.73
TGT,43.55,-80.22
TNK,45.53,-78.27
VME,50.10,-120.77
VXY,60.72,-135.08
WAG,49.92,-55.67
WAJ,42.25,-81.90
WAR,47.28,-53.98
WAV,51.77,-114.68
WBE,45.97,-81.48
WBK,45.77,-62.68
WBO,50.55,-111.85
WBT,50.27,-64.22
WBU,53.33,-104.00
WBV,44.82,-62.33
WBY,49.83,-64.28
WBZ,45.12,-74.28
WCF,52.35,-97.03
WCH,48.75,-91.62
WCO,44.50,-80.22
WCT,52.07,-111.43
WDC,59.57,-108.48
WDE,51.52,-71.10
WDH,50.23,-57.57
WDI,48.97,-56.07
WDK,50.00,-113.63
WDM,50.45,-59.63
WDO,49.68,-54.80
WDP,50.65,-70.52
WDQ,47.40,-72.78
WDT,49.83,-71.17
WDV,49.03,-90.47
WDZ,51.43,-112.67
WEA,50.17,-96.05
WEB,49.37,-126.53
WEH,49.43,-108.98
WEI,49.28,-100.98
WEP,46.45,-61.98
WEQ,52.12,-101.23
WER,46.98,-70.80
WEW,45.80,-73.43
WEX,49.00,-97.23
WFJ,49.20,-113.28
WFO,54.68,-101.68
WFP,56.55,-61.68
WFQ,45.03,-72.85
WFX,67.02,-126.12
WGD,43.77,-81.72
WGH,44.42,-75.85
WGL,44.55,-79.22
WGN,49.02,-97.55
WHM,45.72,-73.37
WHO,55.45,-60.22
WHP,49.08,-61.70
WHQ,46.68,-71.97
WHT,60.77,-137.57
WHV,46.20,-70.78
WID,61.32,-117.60
WIG,47.07,-70.53
WII,50.70,-96.57
WIP,50.15,-66.43
WIS,47.28,-70.63
WIT,45.17,-73.67
WIX,48.58,-71.70
WIZ,45.28,-73.33
WJB,46.77,-71.28
WJD,53.18,-99.27
WJH,56.33,-103.28
WJI,49.73,-105.93
WJO,48.42,-71.13
WJR,49.07,-116.50
WJT,46.07,-74.55
WJV,50.22,-119.18
WJW,52.93,-118.03
WJX,50.90,-109.50
WKB,48.93,-57.92
WKD,50.72,-71.02
WKG,44.40,-65.20
WKO,49.17,-105.98
WKX,58.42,-130.00
WLF,52.18,-87.93
WLJ,54.13,-108.52
WLM,48.42,-123.32
WLS,43.98,-80.75
WME,52.18,-127.47
WMI,48.02,-64.50
WMJ,46.27,-75.98
WMT,63.13,-117.25
WNE,47.05,-63.98
WNH,47.80,-69.53
WNM,49.48,-117.30
WNP,50.27,-117.82
WNQ,46.22,-72.65
WNZ,49.73,-84.15
WOC,48.00,-65.32
WOD,48.83,-72.55
WOE,49.12,-110.47
WOK,51.13,-106.58
WON,64.05,-139.13
WOO,50.72,-99.53
WOY,51.77,-104.20
WPC,42.87,-79.25
WPD,47.55,-71.22
WPE,45.07,-66.45
WPG,49.90,-98.27
WPK,47.92,-74.62
WPL,51.43,-90.22
WPO,49.20,-98.90
WPR,49.47,-120.50
WPU,52.12,-124.13
WPZ,54.38,-125.95
WQC,49.32,-124.92
WQM,48.37,-70.53
WQP,43.83,-77.15
